Datetime,Day,Image filename,Location,Purpose,Cluster
2019-02-06 17:15:26,wednesday,week/img (203).jpg,CSCI Building,Attending CSCI 627,4.0
2019-02-06 17:18:53,wednesday,week/img (204).jpg,CSCI Building,Attending CSCI 627,3.0
2019-02-06 17:21:24,wednesday,week/img (205).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:26:58,wednesday,week/img (206).jpg,CSCI Building,Attending CSCI 627,3.0
2019-02-06 17:28:47,wednesday,week/img (207).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:32:00,wednesday,week/img (208).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-06 17:34:59,wednesday,week/img (209).jpg,CSCI Building,Attending CSCI 627,3.0
2019-02-06 17:39:32,wednesday,week/img (210).jpg,CSCI Building,Attending CSCI 627,3.0
2019-02-06 17:46:29,wednesday,week/img (211).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:49:42,wednesday,week/img (212).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-06 17:52:16,wednesday,week/img (213).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:56:33,wednesday,week/img (214).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 17:58:34,wednesday,week/img (215).jpg,CSCI Building,Attending CSCI 627,3.0
2019-02-06 18:03:12,wednesday,week/img (216).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-06 18:05:51,wednesday,week/img (217).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 18:12:09,wednesday,week/img (218).jpg,CSCI Building,Attending CSCI 627,5.0
2019-02-06 18:15:30,wednesday,week/img (219).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-06 18:17:57,wednesday,week/img (220).jpg,CSCI Building,Attending CSCI 627,4.0
2019-02-06 18:22:53,wednesday,week/img (221).jpg,CSCI Building,Attending CSCI 627,2.0
2019-02-06 18:23:58,wednesday,week/img (222).jpg,outside,travel - biking,4.0
2019-02-06 18:27:15,wednesday,week/img (223).jpg,outside,travel - biking,1.0
2019-02-06 18:29:57,wednesday,week/img (224).jpg,outside,travel - biking,1.0
2019-02-06 18:33:28,wednesday,week/img (225).jpg,outside,travel - biking,1.0
2019-02-06 18:37:08,wednesday,week/img (226).jpg,outside,travel - biking,4.0
2019-02-07 11:08:18,thursday,week/img (227).jpg,outside,travel - biking,2.0
2019-02-07 11:12:21,thursday,week/img (228).jpg,outside,travel - biking,2.0
2019-02-07 11:13:55,thursday,week/img (229).jpg,outside,travel - biking,2.0
2019-02-07 11:16:41,thursday,week/img (230).jpg,outside,travel - biking,4.0
2019-02-07 11:19:40,thursday,week/img (231).jpg,outside,travel - biking,4.0
2019-02-07 11:22:02,thursday,week/img (232).jpg,Recreation and Wellness Center,workout,4.0
2019-02-07 11:32:06,thursday,week/img (233).jpg,Recreation and Wellness Center,workout,2.0
